Hotel,City,District,Contact,Roomtype,TotalRooms,SundayTariff,MondayTariff,TuesdayTariff,WednesdayTariff,ThursdayTariff,FridayTariff,SaturdayTariff
SOMASILA HARITHA HOTEL,SOMASILA,Mahbubnagar,9133322542,NEW NON A/C DORMITORY(4 BEDDED) ROOM,5,2016,2016,2016,2016,2016,2016,2016
SOMASILA HARITHA HOTEL,SOMASILA,Mahbubnagar,9133322542,A/C ROOM (OLD),1,900,900,900,900,900,900,900
SOMASILA HARITHA HOTEL,SOMASILA,Mahbubnagar,9133322542,NON A/C ROOM  (OLD),1,599,599,599,599,599,599,599
TADVAI HARITHA HOTEL,TADVAI,Jayashankar Bhoopalpally,9493549399,NON A/C ROOM,26,999,999,999,999,999,999,999
TADVAI HARITHA HOTEL,TADVAI,Jayashankar Bhoopalpally,9493549399,A/C ROOM,2,1785,1785,1785,1785,1785,1785,1785
"TARAMATI BARADARI,HARITHA,IBHRAHIMBAGH,HYDERABAD",HYDERABAD,Hyderabad,9848827102,A/C SUITE,5,2680,2680,2680,2680,2680,2680,2680
"TARAMATI BARADARI,HARITHA,IBHRAHIMBAGH,HYDERABAD",HYDERABAD,Hyderabad,9848827102,A/C STANDARD,24,2009,2009,2009,2009,2009,2009,2009
THE PLAZA,HYDERABAD,Hyderabad,9553833316,A/C STANDARD,20,3328,3328,3328,3328,3328,3328,3328
VEMULAWADA HARITHA HOTEL,VEMULAWADA,Rajanna Sircilla,8499830815,A/C ROOM,3,999,999,999,999,999,999,999
VEMULAWADA HARITHA HOTEL,VEMULAWADA,Rajanna Sircilla,8499830815,NON A/C ROOM,4,599,599,599,599,599,599,599
VEMULAWADA HARITHA HOTEL,VEMULAWADA,Rajanna Sircilla,8499830815,A/C DORMITORY 5 BEDDED,1,1680,1680,1680,1680,1680,1680,1680
VEMULAWADA HARITHA HOTEL,VEMULAWADA,Rajanna Sircilla,8499830815,NON A/C DORMITORY 5 BEDDED,1,1000,1000,1000,1000,1000,1000,1000
"VIJAY VIHAR,NAGRJUNSAGAR",NAGARJUNA SAGAR,Nalgonda,9705188336,A/C SUITE,6,3700,2500,2500,2500,2500,3700,3700
"VIJAY VIHAR,NAGRJUNSAGAR",NAGARJUNA SAGAR,Nalgonda,9705188336,A/C DELUXE,8,2970,1870,1870,1870,1870,2970,2970
"VIJAY VIHAR,NAGRJUNSAGAR",NAGARJUNA SAGAR,Nalgonda,9705188336,A/C STANDARD,20,2400,1400,1400,1400,1400,2400,2400
"YADAGIRIGUTTA,NALGONDA,HARITHA HOTEL",YADAGIRIGUTTA,Yadadri Bhongir,9848823074,A/C ROOM,7,1815,1650,1650,1650,1650,1815,1815
"YADAGIRIGUTTA,NALGONDA,HARITHA HOTEL",YADAGIRIGUTTA,Yadadri Bhongir,9848823074,A/C DELUXE,3,2300,1700,1700,1700,1700,2300,2300
